Product code,CPU cores,CPU freq,CPU name,Display height,Display screen,Display witdh,Maker code,Maker name,Memory RAM,Memory ROM,Name ID,OS type,OS version,Study or work,Entertaiment
001DL,1,1,Qualcomm Snapdragon QSD8250,800,5,480,dl,DELL,512,2560,DELL Streak,android,2.2,0,0
001HT,1,1,Qualcomm Snapdragon MSM8255,800,4.3,480,ht,HTC,768,1536,HTC Desire HD,android,2.3,0,0
003P,1,1,Texas Instruments OMAP3630,854,4.3,480,p,Panasonic,512,1024,Sweety,android,2.3,0,0
006SH,1,1.4,Qualcomm Snapdragon MSM8255T,960,4.2,540,sh,SHARP,512,1536,AQUOS PHONE,android,2.3,0,0
009SH,1,1,Qualcomm Snapdragon MSM8255,960,4,540,sh,SHARP,512,2048,AQUOS PHONE THE PREMIUM,android,2.3,0,0
009SH_Y,1,1,Qualcomm Snapdragon MSM8255,960,4,540,sh,SHARP,512,2048,Yahoo! Phone,android,2.3,0,0
101DL,2,1.5,Qualcomm Snapdragon MSM8260,960,4.3,540,dl,DELL,1024,8192,DELL Streak Pro,android,2.3,0,0
101F,2,1.5,Qualcomm Snapdragon MSM8960,960,4.3,540,f,Fujitsu,1024,8192,ARROWS A,android,4.1,0,0
101N,1,1.4,Qualcomm Snapdragon MSM8255,800,4,480,n,NEC,512,2048,MEDIAS CH,android,2.3,0,0
101P,2,1,Texas Instruments OMAP4430,960,4,540,p,Panasonic,1024,2048,LUMIX Phone,android,2.3,0,0
102SH,2,1,Texas Instruments OMAP4430,1280,4.5,720,sh,SHARP,1024,4096,AQUOS PHONE,android,4,0,0
102SHII,2,1,Texas Instruments OMAP4430,1280,4.5,720,sh,SHARP,1024,4096,AQUOS PHONE,android,4,0,0
103SH,1,1.4,Qualcomm Snapdragon MSM8255,960,4,540,sh,SHARP,512,2253,AQUOS PHONE,android,2.3,0,0
104SH,2,1.5,Texas Instruments OMAP4460,1280,4.5,720,sh,SHARP,1024,16384,AQUOS PHONE,android,4,0,0
106SH,2,1.5,Qualcomm Snapdragon MSM8260A,1280,4.7,720,sh,SHARP,1024,32768,AQUOS PHONE Xx,android,4,0,0
200SH,2,1.5,Qualcomm Snapdragon MSM8960,1280,4.5,720,sh,SHARP,1024,8192,PANTONE® 6,android,4.1,0,0
201F,4,1.5,Qualcomm Snapdragon APQ8064,1280,4.7,720,f,Fujitsu,2048,32768,ARROWS A,android,4.1,0,0
201HW,2,1.5,Qualcomm Snapdragon MSM8960,960,4.3,540,hw,Huawei,1024,4096,STREAM,android,4,0,0
201HW_,2,1.5,Qualcomm Snapdragon MSM8960,960,4.3,540,hw,Huawei,1024,4096,STREAM,android,4,0,0
201M,2,1.5,Qualcomm Snapdragon MSM8960,960,4.3,540,m,Motorola,1024,8192,RAZR M,android,4.1,0,0
202F,4,1.7,Qualcomm Snapdragon 600 APQ8064T,1920,5,1080,f,Fujitsu,2048,65536,ARROWS A,android,4.2,1,1
202K,2,1.5,Qualcomm Snapdragon MSM8960,1280,4.3,720,k,KYOCERA,1536,16384,DIGNO R,android,4.2,0,0
203SH,4,1.5,Qualcomm Snapdragon APQ8064,1280,4.9,720,sh,SHARP,2048,32768,AQUOS PHONE Xx,android,4.1,0,0
205SH,2,1.5,Qualcomm Snapdragon MSM8960,854,4,480,sh,SHARP,1024,8192,AQUOS PHONE ss,android,4.1,0,0
206SH,4,1.7,Qualcomm Snapdragon 600 APQ8064T,1920,5,1080,sh,SHARP,2048,32768,AQUOS PHONE Xx,android,4.2,1,1
301F,4,2.2,Qualcomm Snapdragon 800 MSM8974,1920,5,1080,f,Fujitsu,2048,65536,ARROWS A,android,4.2,1,1
302HW,4,1.6,KIRIN910,1280,4.7,720,hw,Huawei,2048,8192,STREAM S,android,4.4,0,0
302KC,4,1.2,Qualcomm Snapdragon 400 MSM8926,960,4.5,540,k,KYOCERA,1536,8192,DIGNO T,android,4.4,0,0
302SH,4,2.2,Qualcomm Snapdragon 800 MSM8974,1920,5.2,1080,sh,SHARP,2048,32768,AQUOS PHONE Xx,android,4.2,1,1
303SH,4,2.2,Qualcomm Snapdragon 800 MSM8974,1920,4.5,1080,sh,SHARP,2048,16384,AQUOS PHONE Xx mini,android,4.2,0,0
