product_code,cpu_cores,cpu_freq,cpu_name,height,screen,width,maker_code,maker_name,memory_ram,memory_rom,name_ID,os_type,os_version,url_icon,url_photo,study_work,entertainment
001DL,1,1.0,Qualcomm Snapdragon QSD8250,800.0,5.0,480.0,dl,DELL,512.0,2560.0,DELL Streak,android,2.2,/static/images/icons/001DL.jpg,/static/images/phones/001DL.jpg,0,0
001HT,1,1.0,Qualcomm Snapdragon MSM8255,800.0,4.3,480.0,ht,HTC,768.0,1536.0,HTC Desire HD,android,2.3,/static/images/icons/001HT.jpg,/static/images/phones/001HT.jpg,0,0
003P,1,1.0,Texas Instruments OMAP3630,854.0,4.3,480.0,p,Panasonic,512.0,1024.0,Sweety,android,2.3,/static/images/icons/003P.jpg,/static/images/phones/003P.jpg,0,0
006SH,1,1.4,Qualcomm Snapdragon MSM8255T,960.0,4.2,540.0,sh,SHARP,512.0,1536.0,AQUOS PHONE,android,2.3,/static/images/icons/006SH.jpg,/static/images/phones/006SH.jpg,0,0
009SH,1,1.0,Qualcomm Snapdragon MSM8255,960.0,4.0,540.0,sh,SHARP,512.0,2048.0,AQUOS PHONE THE PREMIUM,android,2.3,/static/images/icons/009SH.jpg,/static/images/phones/009SH.jpg,0,0
009SH_Y,1,1.0,Qualcomm Snapdragon MSM8255,960.0,4.0,540.0,sh,SHARP,512.0,2048.0,Yahoo! Phone,android,2.3,/static/images/icons/009SH_Y.jpg,/static/images/phones/009SH_Y.jpg,0,0
101DL,2,1.5,Qualcomm Snapdragon MSM8260,960.0,4.3,540.0,dl,DELL,1024.0,8192.0,DELL Streak Pro,android,2.3,/static/images/icons/101DL.jpg,/static/images/phones/101DL.jpg,0,0
101F,2,1.5,Qualcomm Snapdragon MSM8960,960.0,4.3,540.0,f,Fujitsu,1024.0,8192.0,ARROWS A,android,4.1,/static/images/icons/101F.jpg,/static/images/phones/101F.jpg,0,0
101N,1,1.4,Qualcomm Snapdragon MSM8255,800.0,4.0,480.0,n,NEC,512.0,2048.0,MEDIAS CH,android,2.3,/static/images/icons/101N.jpg,/static/images/phones/101N.jpg,0,0
101P,2,1.0,Texas Instruments OMAP4430,960.0,4.0,540.0,p,Panasonic,1024.0,2048.0,LUMIX Phone,android,2.3,/static/images/icons/101P.jpg,/static/images/phones/101P.jpg,0,0
102SH,2,1.0,Texas Instruments OMAP4430,1280.0,4.5,720.0,sh,SHARP,1024.0,4096.0,AQUOS PHONE,android,4,/static/images/icons/102SH.jpg,/static/images/phones/102SH.jpg,0,0
102SHII,2,1.0,Texas Instruments OMAP4430,1280.0,4.5,720.0,sh,SHARP,1024.0,4096.0,AQUOS PHONE,android,4,/static/images/icons/102SHII.jpg,/static/images/phones/102SHII.jpg,0,0
103SH,1,1.4,Qualcomm Snapdragon MSM8255,960.0,4.0,540.0,sh,SHARP,512.0,2253.0,AQUOS PHONE,android,2.3,/static/images/icons/103SH.jpg,/static/images/phones/103SH.jpg,0,0
104SH,2,1.5,Texas Instruments OMAP4460,1280.0,4.5,720.0,sh,SHARP,1024.0,16384.0,AQUOS PHONE,android,4,/static/images/icons/104SH.jpg,/static/images/phones/104SH.jpg,0,0
106SH,2,1.5,Qualcomm Snapdragon MSM8260A,1280.0,4.7,720.0,sh,SHARP,1024.0,32768.0,AQUOS PHONE Xx,android,4,/static/images/icons/106SH.jpg,/static/images/phones/106SH.jpg,0,0
200SH,2,1.5,Qualcomm Snapdragon MSM8960,1280.0,4.5,720.0,sh,SHARP,1024.0,8192.0,PANTONE® 6,android,4.1,/static/images/icons/200SH.jpg,/static/images/phones/200SH.jpg,0,0
201F,4,1.5,Qualcomm Snapdragon APQ8064,1280.0,4.7,720.0,f,Fujitsu,2048.0,32768.0,ARROWS A,android,4.1,/static/images/icons/201F.jpg,/static/images/phones/201F.jpg,0,0
201HW,2,1.5,Qualcomm Snapdragon MSM8960,960.0,4.3,540.0,hw,Huawei,1024.0,4096.0,STREAM,android,4,/static/images/icons/201HW.jpg,/static/images/phones/201HW.jpg,0,0
201HW_,2,1.5,Qualcomm Snapdragon MSM8960,960.0,4.3,540.0,hw,Huawei,1024.0,4096.0,STREAM,android,4,/static/images/icons/201HW_.jpg,/static/images/phones/201HW_.jpg,0,0
201M,2,1.5,Qualcomm Snapdragon MSM8960,960.0,4.3,540.0,m,Motorola,1024.0,8192.0,RAZR M,android,4.1,/static/images/icons/201M.jpg,/static/images/phones/201M.jpg,0,0
202F,4,1.7,Qualcomm Snapdragon 600 APQ8064T,1920.0,5.0,1080.0,f,Fujitsu,2048.0,65536.0,ARROWS A,android,4.2,/static/images/icons/202F.jpg,/static/images/phones/202F.jpg,1,1
202K,2,1.5,Qualcomm Snapdragon MSM8960,1280.0,4.3,720.0,k,KYOCERA,1536.0,16384.0,DIGNO R,android,4.2,/static/images/icons/202K.jpg,/static/images/phones/202K.jpg,0,0
203SH,4,1.5,Qualcomm Snapdragon APQ8064,1280.0,4.9,720.0,sh,SHARP,2048.0,32768.0,AQUOS PHONE Xx,android,4.1,/static/images/icons/203SH.jpg,/static/images/phones/203SH.jpg,0,0
205SH,2,1.5,Qualcomm Snapdragon MSM8960,854.0,4.0,480.0,sh,SHARP,1024.0,8192.0,AQUOS PHONE ss,android,4.1,/static/images/icons/205SH.jpg,/static/images/phones/205SH.jpg,0,0
206SH,4,1.7,Qualcomm Snapdragon 600 APQ8064T,1920.0,5.0,1080.0,sh,SHARP,2048.0,32768.0,AQUOS PHONE Xx,android,4.2,/static/images/icons/206SH.jpg,/static/images/phones/206SH.jpg,1,1
301F,4,2.2,Qualcomm Snapdragon 800 MSM8974,1920.0,5.0,1080.0,f,Fujitsu,2048.0,65536.0,ARROWS A,android,4.2,/static/images/icons/301F.jpg,/static/images/phones/301F.jpg,1,1
